domicilio_barrio,counts
AGRONOMIA,30
ALMAGRO,77
BALVANERA,70
BARRACAS,38
BELGRANO,46
BOCA,11
BOEDO,61
CABALLITO,166
CHACARITA,38
COGHLAN,24
COLEGIALES,44
CONSTITUCION,33
FLORES,109
FLORESTA,82
LINIERS,79
MATADEROS,149
MONSERRAT,19
MONTE CASTRO,64
NUEVA POMPEYA,46
NUÑEZ,18
PALERMO,179
PARQUE AVELLANEDA,70
PARQUE CHACABUCO,87
PARQUE CHAS,74
PARQUE PATRICIOS,30
PATERNAL,14
PUERTO MADERO,3
RECOLETA,47
RETIRO,20
SAAVEDRA,37
SAN CRISTOBAL,19
SAN NICOLAS,22
SAN TELMO,5
VELEZ SARSFIELD,28
VERSALLES,21
VILLA CRESPO,61
VILLA DEL PARQUE,89
VILLA DEVOTO,117
VILLA GRAL. MITRE,48
VILLA LUGANO,44
VILLA LURO,48
VILLA ORTUZAR,16
VILLA PUEYRREDON,142
VILLA REAL,19
VILLA RIACHUELO,21
VILLA SANTA RITA,77
VILLA SOLDATI,16
VILLA URQUIZA,168
